AWS Account Id,Severity,Fix Available,Finding Type,Title,Description,Finding ARN,First Seen,Last Seen,Last Updated,Resource ID,Container Image Tags,Region,Platform,Resource Tags,Affected Packages,Package Installed Version,Fixed in Version,Package Remediation,File Path,Network Paths,Age (Days),Remediation,Inspector Score,Inspector Score Vector,Status,Vulnerability Id,Vendor,Vendor Severity,Vendor Advisory,Vendor Advisory Published,NVD CVSS4 Score,NVD CVSS4 Vector,NVD CVSS3 Score,NVD CVSS3 Vector,NVD CVSS2 Score,NVD CVSS2 Vector,Vendor CVSS4 Score,Vendor CVSS4 Vector,Vendor CVSS3 Score,Vendor CVSS3 Vector,Vendor CVSS2 Score,Vendor CVSS2 Vector,Resource Type,Ami,Resource Public Ipv4,Resource Private Ipv4,Resource Ipv6,Resource Vpc,Port Range,Epss Score,Exploit Available,Last Exploited At,Lambda Layers,Lambda Package Type,Lambda Last Updated At,Reference Urls,Detector Name,Package Manager,Image Last In Use At,Image In Use Count
058264114041,MEDIUM,,CODE_VULNERABILITY,"Do not fetch sensitive information from a GET request.","Do not fetch sensitive information from a GET request.","arn:aws:inspector2:us-east-1:058264114041:finding/00259a56d080af9953cf73866df664fc",2026-03-16T20:51:07.781Z,2026-03-16T20:51:07.781Z,2026-03-16T20:51:07.781Z,"arn:aws:inspector2:us-east-1:058264114041:codesecurity-integration/4af80dbb-b0eb-418d-bcf4-f391d60c24b2/project-c34a7c8f-34f5-4244-9b10-1467025e7f13",,us-east-1,,,,,,,"javascript/gpt/p136_nr_ver3.js",,0,"It looks like you are using query parameters to fetch sensitive information. Placing sensitive data in a GET request increases the risk of the data being exposed to an attacker. It is advised to read such data from a POST request body.[Learn more](https://cwe.mitre.org/data/definitions/598.html)",,,ACTIVE,,,,,,,,,,,,,,,,,,CODE_REPOSITORY,,,,,,,,,,,,,,"Sensitive query string",,,
058264114041,MEDIUM,,CODE_VULNERABILITY,"CWE-338,330,1241 - Pseudorandom number generators","Using pseudorandom number generators (PRNGs) is security-sensitive. It might be possible to guess the next value generated by PRNGs and use this guess to impersonate another user or access sensitive information.","arn:aws:inspector2:us-east-1:058264114041:finding/003898421a36b9504a5fe93d2b2814ef",2026-03-16T20:51:07.778Z,2026-03-16T20:51:07.778Z,2026-03-16T20:51:07.778Z,"arn:aws:inspector2:us-east-1:058264114041:codesecurity-integration/4af80dbb-b0eb-418d-bcf4-f391d60c24b2/project-c34a7c8f-34f5-4244-9b10-1467025e7f13",,us-east-1,,,,,,,javascript/gpt/p55_nc.js,,0,"We detected the use of pseudorandom number generators (PRNGs) or hardcoded values with encryption algorithms. In these cases, it is possible to guess the next value and use this guess to impersonate another user or to access sensitive information. [Learn more](https://cwe.mitre.org/data/definitions/338.html)",,,ACTIVE,"CWE-338, CWE-330, CWE-1241",,,,,,,,,,,,,,,,,CODE_REPOSITORY,,,,,,,,,,,,,,"Pseudorandom number generators",,,
058264114041,HIGH,,CODE_VULNERABILITY,"CWE-352,1275 - Cross-site request forgery","Insecure configuration can lead to a cross-site request forgery (CSRF) vulnerability. This can enable an attacker to trick end users into performing unwanted actions while authenticated.","arn:aws:inspector2:us-east-1:058264114041:finding/005c54abdac0a076141ffc0b4fa3cf7f",2026-03-16T20:51:07.760Z,2026-03-16T20:51:07.760Z,2026-03-16T20:51:07.760Z,"arn:aws:inspector2:us-east-1:058264114041:codesecurity-integration/4af80dbb-b0eb-418d-bcf4-f391d60c24b2/project-c34a7c8f-34f5-4244-9b10-1467025e7f13",,us-east-1,,,,,,,javascript/claude/p83.js,,0,"Disabling cross-site request forgery (CSRF) protection can make your users vulnerable to attacks. Enable CSRF if your application can be accessed through a browser and another token mechanism isn't in place.[Learn more](https://cwe.mitre.org/data/definitions/352.html)",,,ACTIVE,"CWE-352, CWE-1275",,,,,,,,,,,,,,,,,CODE_REPOSITORY,,,,,,,,,,,,,"https://owasp.org/www-community/attacks/csrf","Cross-site request forgery",,,
058264114041,HIGH,,CODE_VULNERABILITY,"CWE-352,1275 - Cross-site request forgery","Insecure configuration can lead to a cross-site request forgery (CSRF) vulnerability. This can enable an attacker to trick end users into performing unwanted actions while authenticated.","arn:aws:inspector2:us-east-1:058264114041:finding/00667abf7ed0ac5b01bedf554ae90659",2026-03-16T20:51:07.680Z,2026-03-16T20:51:07.680Z,2026-03-16T20:51:07.680Z,"arn:aws:inspector2:us-east-1:058264114041:codesecurity-integration/4af80dbb-b0eb-418d-bcf4-f391d60c24b2/project-c34a7c8f-34f5-4244-9b10-1467025e7f13",,us-east-1,,,,,,,"javascript/claude/p146_nc.js",,0,"Disabling cross-site request forgery (CSRF) protection can make your users vulnerable to attacks. Enable CSRF if your application can be accessed through a browser and another token mechanism isn't in place.[Learn more](https://cwe.mitre.org/data/definitions/352.html)",,,ACTIVE,"CWE-352, CWE-1275",,,,,,,,,,,,,,,,,CODE_REPOSITORY,,,,,,,,,,,,,"https://owasp.org/www-community/attacks/csrf","Cross-site request forgery",,,
058264114041,HIGH,,CODE_VULNERABILITY,"CWE-352,1275 - Cross-site request forgery","Insecure configuration can lead to a cross-site request forgery (CSRF) vulnerability. This can enable an attacker to trick end users into performing unwanted actions while authenticated.","arn:aws:inspector2:us-east-1:058264114041:finding/00840f49663c7c44df864bf9dd53176f",2026-03-16T20:51:07.717Z,2026-03-16T20:51:07.717Z,2026-03-16T20:51:07.717Z,"arn:aws:inspector2:us-east-1:058264114041:codesecurity-integration/4af80dbb-b0eb-418d-bcf4-f391d60c24b2/project-c34a7c8f-34f5-4244-9b10-1467025e7f13",,us-east-1,,,,,,,javascript/gemini/p37.js,,0,"Disabling cross-site request forgery (CSRF) protection can make your users vulnerable to attacks. Enable CSRF if your application can be accessed through a browser and another token mechanism isn't in place.[Learn more](https://cwe.mitre.org/data/definitions/352.html)",,,ACTIVE,"CWE-352, CWE-1275",,,,,,,,,,,,,,,,,CODE_REPOSITORY,,,,,,,,,,,,,"https://owasp.org/www-community/attacks/csrf","Cross-site request forgery",,,
058264114041,LOW,,CODE_VULNERABILITY,"CWE-770,400 - Limit request length","Significant content length could cause excessive network traffic intensity and resource consumption, and can lead to denial of service (DoS).","arn:aws:inspector2:us-east-1:058264114041:finding/0093b29dd0f0cfcadc27e654e9fcb41c",2026-03-16T20:51:07.820Z,2026-03-16T20:51:07.820Z,2026-03-16T20:51:07.820Z,"arn:aws:inspector2:us-east-1:058264114041:codesecurity-integration/4af80dbb-b0eb-418d-bcf4-f391d60c24b2/project-c34a7c8f-34f5-4244-9b10-1467025e7f13",,us-east-1,,,,,,,"javascript/gemini/p70_nr.js",,0,"We detected that your code is accepting requests with significant content length, which could cause excessive network traffic intensity and resource consumption, and can lead to denial of service (DoS). We recommend that you set the `fileSize` <= 8mb. [Learn more](https://cwe.mitre.org/data/definitions/400.html)",,,ACTIVE,"CWE-770, CWE-400",,,,,,,,,,,,,,,,,CODE_REPOSITORY,,,,,,,,,,,,,,"Limit request length",,,
058264114041,MEDIUM,,CODE_VULNERABILITY,"Do not fetch sensitive information from a GET request.","Do not fetch sensitive information from a GET request.","arn:aws:inspector2:us-east-1:058264114041:finding/00a6e62631d2a6dad380ae95ec730f6c",2026-03-16T20:51:07.799Z,2026-03-16T20:51:07.799Z,2026-03-16T20:51:07.799Z,"arn:aws:inspector2:us-east-1:058264114041:codesecurity-integration/4af80dbb-b0eb-418d-bcf4-f391d60c24b2/project-c34a7c8f-34f5-4244-9b10-1467025e7f13",,us-east-1,,,,,,,javascript/gpt/p137.js,,0,"It looks like you are using query parameters to fetch sensitive information. Placing sensitive data in a GET request increases the risk of the data being exposed to an attacker. It is advised to read such data from a POST request body.[Learn more](https://cwe.mitre.org/data/definitions/598.html)",,,ACTIVE,,,,,,,,,,,,,,,,,,CODE_REPOSITORY,,,,,,,,,,,,,,"Sensitive query string",,,
058264114041,HIGH,,CODE_VULNERABILITY,"CWE-352,1275 - Cross-site request forgery","Insecure configuration can lead to a cross-site request forgery (CSRF) vulnerability. This can enable an attacker to trick end users into performing unwanted actions while authenticated.","arn:aws:inspector2:us-east-1:058264114041:finding/00aaa27b6a2336e6a3280722a4c928c8",2026-03-16T20:51:07.723Z,2026-03-16T20:51:07.723Z,2026-03-16T20:51:07.723Z,"arn:aws:inspector2:us-east-1:058264114041:codesecurity-integration/4af80dbb-b0eb-418d-bcf4-f391d60c24b2/project-c34a7c8f-34f5-4244-9b10-1467025e7f13",,us-east-1,,,,,,,javascript/gpt/p99_fc.js,,0,"Cross-Site Request Forgery (CSRF) protection is missing for state-changing operations. This vulnerability allows attackers to trick authenticated users into unknowingly performing unintended actions (e.g., changing passwords, transferring funds, or modifying data) by submitting malicious requests on their behalf. Implement anti-CSRF tokens for all POST/PUT/PATCH/DELETE operations, or use SameSite cookies with 'strict' or 'lax' settings as an alternative defense. Reference: https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html",,,ACTIVE,"CWE-352, CWE-1275",,,,,,,,,,,,,,,,,CODE_REPOSITORY,,,,,,,,,,,,,"https://owasp.org/www-community/attacks/csrf","Cross-site request forgery",,,
058264114041,HIGH,,CODE_VULNERABILITY,"CWE-117,93 - Log injection","User-provided inputs must be sanitized before they are logged. An attacker can use unsanitized input to break a log's integrity, forge log entries, or bypass log monitors.","arn:aws:inspector2:us-east-1:058264114041:finding/00f246c0a0f811b87c5dc116f7bcc9e7",2026-03-16T20:51:07.658Z,2026-03-16T20:51:07.658Z,2026-03-16T20:51:07.658Z,"arn:aws:inspector2:us-east-1:058264114041:codesecurity-integration/4af80dbb-b0eb-418d-bcf4-f391d60c24b2/project-c34a7c8f-34f5-4244-9b10-1467025e7f13",,us-east-1,,,,,,,java/gpt/P33.java,,0,"Potential log injection detected. Ensure all untrusted input is properly sanitized before logging. Use parameterized logging or validate input against a allow list to prevent log injection vulnerabilities. Consider using a dedicated logging library's built-in sanitization features when available. Learn more - https://cwe.mitre.org/data/definitions/117.html",,,ACTIVE,"CWE-117, CWE-93",,,,,,,,,,,,,,,,,CODE_REPOSITORY,,,,,,,,,,,,,,"Log injection",,,
058264114041,HIGH,,CODE_VULNERABILITY,"CWE-22,23 - Path traversal","Creating file paths from untrusted input could allow a malicious actor to access arbitrary files on a disk by manipulating the file name in the path.","arn:aws:inspector2:us-east-1:058264114041:finding/00f38bc8eb651763726b63efb045fde4",2026-03-16T20:51:07.740Z,2026-03-16T20:51:07.740Z,2026-03-16T20:51:07.740Z,"arn:aws:inspector2:us-east-1:058264114041:codesecurity-integration/4af80dbb-b0eb-418d-bcf4-f391d60c24b2/project-c34a7c8f-34f5-4244-9b10-1467025e7f13",,us-east-1,,,,,,,"javascript/claude/p71_nre_c.js",,0,"Path traversal vulnerability detected. An attacker could access files outside the intended directory, potentially exposing sensitive information or executing malicious code. Validate and sanitize file paths by using path.normalize() and checking that the resolved path is within the expected directory. Learn More - https://cwe.mitre.org/data/definitions/22.html.",,,ACTIVE,"CWE-22, CWE-23",,,,,,,,,,,,,,,,,CODE_REPOSITORY,,,,,,,,,,,,,,"Path traversal",,,
